converted,score_differential,game_seconds_remaining,situation
0,0.0,1873.0,Medium_Opponent Territory
1,10.0,1356.0,Short_Midfield Area
0,-10.0,531.0,Medium_Midfield Area
0,-4.0,43.0,Long_Midfield Area
1,0.0,3412.0,Short_Opponent Territory
0,0.0,1805.0,Medium_Midfield Area
0,-3.0,1187.0,Long_Opponent Territory
0,-3.0,90.0,Short_Midfield Area
0,3.0,33.0,Long_Opponent Territory
1,-3.0,3239.0,Short_Midfield Area
0,-12.0,764.0,Long_Red Zone
1,0.0,159.0,Short_Opponent Territory
0,-7.0,62.0,Medium_Opponent Territory
1,0.0,3263.0,Short_Opponent Territory
0,-5.0,1395.0,Short_Red Zone
1,-2.0,313.0,Short_Midfield Area
0,-2.0,185.0,Short_Midfield Area
1,-5.0,114.0,Medium_Midfield Area
1,-6.0,119.0,Medium_Midfield Area
1,1.0,2836.0,Short_Midfield Area
0,-22.0,10.0,Short_Red Zone
1,4.0,2119.0,Short_Red Zone
1,-22.0,1144.0,Short_Midfield Area
1,-22.0,854.0,Medium_Red Zone
0,17.0,239.0,Short_Red Zone
0,-17.0,156.0,Short_Own Territory
0,-3.0,2587.0,Short_Midfield Area
0,-3.0,2482.0,Short_Midfield Area
0,-7.0,1639.0,Medium_Opponent Territory
0,-7.0,1214.0,Medium_Red Zone
0,-7.0,978.0,Medium_Opponent Territory
0,10.0,180.0,Short_Midfield Area
1,-6.0,1474.0,Short_Midfield Area
1,-6.0,1344.0,Medium_Midfield Area
0,-6.0,1022.0,Medium_Red Zone
1,-6.0,542.0,Short_Opponent Territory
0,0.0,3204.0,Short_Red Zone
0,0.0,1802.0,Long_Midfield Area
0,0.0,3197.0,Medium_Opponent Territory
1,1.0,2192.0,Short_Opponent Territory
0,-29.0,631.0,Long_Midfield Area
0,29.0,487.0,Medium_Opponent Territory
1,-29.0,368.0,Short_Opponent Territory
0,-29.0,312.0,Long_Opponent Territory
1,29.0,171.0,Short_Midfield Area
1,29.0,31.0,Short_Red Zone
1,-7.0,2936.0,Short_Opponent Territory
0,-13.0,122.0,Medium_Red Zone
0,0.0,3432.0,Short_Red Zone
1,0.0,3221.0,Short_Red Zone
1,4.0,2801.0,Short_Opponent Territory
1,-8.0,1882.0,Short_Red Zone
1,-3.0,3133.0,Medium_Opponent Territory
1,-4.0,2524.0,Short_Red Zone
0,-3.0,2070.0,Short_Opponent Territory
1,-3.0,3146.0,Short_Midfield Area
0,-7.0,1269.0,Short_Red Zone
0,0.0,366.0,Short_Red Zone
0,0.0,104.0,Short_Red Zone
1,6.0,1834.0,Short_Midfield Area
0,-9.0,1358.0,Short_Red Zone
1,-9.0,1120.0,Short_Opponent Territory
1,-9.0,859.0,Short_Red Zone
0,-14.0,214.0,Long_Midfield Area
0,-14.0,16.0,Long_Opponent Territory
1,0.0,3466.0,Short_Midfield Area
1,3.0,2509.0,Short_Opponent Territory
1,-6.0,2216.0,Short_Opponent Territory
0,-7.0,614.0,Short_Opponent Territory
1,-4.0,51.0,Long_Midfield Area
0,-4.0,24.0,Long_Opponent Territory
1,7.0,2544.0,Short_Opponent Territory
1,11.0,120.0,Short_Opponent Territory
0,-11.0,1563.0,Medium_Opponent Territory
0,-11.0,958.0,Medium_Opponent Territory
1,-21.0,316.0,Short_Red Zone
1,-11.0,2192.0,Short_Midfield Area
1,-3.0,198.0,Medium_Opponent Territory
0,-3.0,127.0,Long_Midfield Area
0,3.0,104.0,Short_Red Zone
1,-3.0,67.0,Short_Midfield Area
0,-3.0,247.0,Medium_Opponent Territory
0,-4.0,2431.0,Short_Red Zone
0,4.0,1374.0,Short_Red Zone
1,-6.0,74.0,Short_Midfield Area
1,-6.0,51.0,Long_Midfield Area
0,-6.0,23.0,Long_Opponent Territory
0,3.0,179.0,Long_Red Zone
1,-7.0,523.0,Long_Midfield Area
0,-7.0,266.0,Medium_Opponent Territory
1,0.0,3420.0,Short_Midfield Area
0,-3.0,1302.0,Short_Midfield Area
1,3.0,1115.0,Short_Red Zone
0,-10.0,107.0,Long_Own Territory
0,0.0,3416.0,Medium_Opponent Territory
0,0.0,226.0,Short_Red Zone
0,7.0,2335.0,Short_Opponent Territory
1,-7.0,2273.0,Short_Midfield Area
1,0.0,1892.0,Short_Midfield Area
0,-3.0,21.0,Long_Opponent Territory
1,0.0,3429.0,Short_Opponent Territory
0,-10.0,1914.0,Short_Opponent Territory
0,13.0,802.0,Medium_Opponent Territory
1,-13.0,690.0,Short_Opponent Territory
0,-13.0,381.0,Long_Opponent Territory
1,-13.0,257.0,Medium_Midfield Area
1,-13.0,179.0,Long_Opponent Territory
1,-13.0,116.0,Medium_Opponent Territory
0,-21.0,1903.0,Short_Midfield Area
0,-24.0,1805.0,Long_Midfield Area
0,24.0,1682.0,Medium_Opponent Territory
1,-24.0,1471.0,Long_Opponent Territory
0,-24.0,1373.0,Long_Red Zone
0,-27.0,577.0,Medium_Red Zone
1,3.0,1920.0,Short_Red Zone
0,-7.0,646.0,Short_Midfield Area
0,-3.0,55.0,Short_Own Territory
1,-7.0,176.0,Short_Red Zone
1,3.0,1433.0,Short_Red Zone
1,9.0,989.0,Short_Opponent Territory
0,-16.0,616.0,Short_Red Zone
0,0.0,3276.0,Short_Opponent Territory
1,1.0,956.0,Medium_Opponent Territory
0,9.0,75.0,Medium_Opponent Territory
0,-4.0,2855.0,Short_Red Zone
1,-4.0,2586.0,Short_Opponent Territory
0,-15.0,481.0,Long_Midfield Area
1,-15.0,283.0,Short_Midfield Area
1,3.0,2465.0,Short_Opponent Territory
1,-3.0,137.0,Short_Midfield Area
1,-3.0,52.0,Long_Opponent Territory
1,-7.0,170.0,Medium_Red Zone
1,3.0,2665.0,Medium_Opponent Territory
1,3.0,1936.0,Short_Red Zone
0,-3.0,1573.0,Medium_Opponent Territory
0,-10.0,655.0,Medium_Opponent Territory
1,7.0,115.0,Medium_Opponent Territory
0,-3.0,2419.0,Short_Red Zone
0,4.0,1802.0,Short_Opponent Territory
0,4.0,293.0,Short_Red Zone
0,-4.0,109.0,Long_Opponent Territory
0,-12.0,1825.0,Short_Opponent Territory
1,15.0,1352.0,Short_Red Zone
0,-22.0,798.0,Long_Opponent Territory
1,-22.0,548.0,Medium_Opponent Territory
0,-22.0,416.0,Long_Midfield Area
1,0.0,2705.0,Short_Red Zone
1,-7.0,2549.0,Medium_Opponent Territory
1,-3.0,1430.0,Short_Midfield Area
1,-6.0,896.0,Medium_Red Zone
1,0.0,2330.0,Short_Opponent Territory
